"ID","Protein.Group","Genes","First.Protein.Description","mean_pI","mean_mw","mean_gravy"
21,"A0A096MJY7","Lsm14a","LSM14A mRNA-processing body assembly factor",9.55487141042235,50606.08944,-0.892872570194384
22,"A0A096MK10;F1LNV1","Selp","p-selectin",5.73725461487806,82445.94089,-0.295394076305221
23,"A0A096MK13;F1LRJ6","Pola1","DNA polymerase",5.52250876509769,164996.41199,-0.460525095196237
24,"A0A096MK47","Mlip","Muscular LMNA-interacting protein",8.74834501759592,103653.21864,-0.58592132505176
25,"A0A096MK48","Serf1","Small EDRK-rich factor 1",11.8054470758588,15280.41664,-1.09057971014493
26,"A0A096MK54","Synm","RCG24674, isoform CRA_e",5.06230027136173,140761.36424,-0.839203187250996
27,"A0A096MK60","Slfn5","Schlafen family member 5",6.23136755491416,101134.24084,-0.205316742081448
28,"A0A096MK61","Crtap","Cartilage associated protein-like 1",5.51441069749631,46490.71224,-0.410669975186104
29,"A0A096MK99","Parp4","Poly [ADP-ribose] polymerase",5.98756809461781,201906.59794,-0.284826827927433
30,"A0A096MKC0;A0A8I5ZS67","Gigyf2","GRB10-interacting GYF protein 2",5.445260510964,147040.66444,-1.27565899919014
31,"A0A096MKD1;F7FGJ4","Eef1akmt1","EEF1A lysine methyltransferase 1",4.40475801541365,25529.48169,-0.406473214285714
32,"A0A096MKE5","Zfp326","Zinc finger protein 326",5.04705037432012,65214.18704,-1.10757314974182
33,"A0A096MKE9;A0A0G2JV76","Lig3","DNA ligase",9.09338938273175,110652.43469,-0.436564539196137
34,"A0A096MKF8;A0A0G2K4W3;D3ZDE6","Med12","Mediator complex subunit 12",6.67161163906027,242531.914506667,-0.509174635108245
35,"A0A096MKF9","Cfb","Complement C2",6.33103050039754,68984.48564,-0.260708534621578
36,"A0A0A0MP82","Hba-a3","Hemoglobin alpha, adult chain 1",8.41684177638248,20117.89254,-0.212299465240642
37,"A0A0A0MY26;A0A0G2KAZ8;A0A8L2QXY5","Mcpt8;Mcpt9","Mast cell protease 9",9.49533187370341,27263.12124,-0.266572252380593
38,"A0A0A0MY48;A0A0A0MY49;A0A8I6A1C6;A0A8I6ADL1","Dnm2","dynamin GTPase",7.23343698233748,97800.16239,-0.459902196669467
39,"A0A0B4J2J0","Fcgr1a","Fc gamma receptor 1A",7.74601061865769,39979.89264,-0.127195467422096
40,"A0A0G2JSG6;A0A8I6ASX2","Ak2","Adenylate kinase 2, mitochondrial",7.71069917797458,24965.02989,-0.154107391371579
41,"A0A0G2JSH5;A0A8I5Y4N3","Alb","Albumin",6.01556060425874,69222.93614,-0.351739789815448
42,"A0A0G2JSH9;A0A8I6G2K0","Prdx2","Peroxiredoxin-2",5.146553535892,20703.96589,-0.112269341459286
43,"A0A0G2JSI1;A0A8I6AQJ5","Aldh9a1","4-trimethylaminobutyraldehyde dehydrogenase",6.69724915956009,55259.59449,-0.0620073608638395
44,"A0A0G2JSI4;A0A8I5ZM38;A0A8I6G2Z6","Adgre5","Adhesion G protein-coupled receptor E5",8.35216737722697,96119.5440733333,-0.0389775358194089
45,"A0A0G2JSK1","Serpina3c","RCG20603",5.30276341826336,46477.40624,-0.170673076923077
46,"A0A0G2JSK5;A0A8I6GKJ1","Itgb1","Integrin beta",5.76281811210507,85474.10879,-0.396038352868631
47,"A0A0G2JSL8;A0A0G2K6X9","Adk","Adenosine kinase",5.76610664698614,42119.29194,-0.278186798457552
48,"A0A0G2JSM3","Pdlim3","PDZ and LIM domain 3, isoform CRA_a",8.12706944013795,34417.87394,-0.475632911392405
49,"A0A0G2JSN6","Adgrg3","Adhesion G protein-coupled receptor G3",6.33210053729814,60855.25894,0.201828153564899
50,"A0A0G2JSP8","Ckm","creatine kinase",6.60318388335503,43018.92934,-0.582939632545932
51,"A0A0G2JSP9","Slc22a2","RCG44898, isoform CRA_a",8.26940581304319,66080.74414,0.35885328836425
52,"A0A0G2JSR4;A0A0G2JXI4;A0A8I6GLJ7","Stat5b","Signal transducer and activator of transcription",5.95074462025947,87498.95724,-0.476012039648409
53,"A0A0G2JSR7","Matr3","Matrin-3",5.86890482404528,94502.14614,-0.936094674556213
54,"A0A0G2JSS8;A0A8I5ZR89;A0A8I6A9W7","Prdx5","Peroxiredoxin-5",8.81714683579296,22679.4077733333,-0.0836084655029039
55,"A0A0G2JSW3","Hbb","Hemoglobin subunit beta-1",9.04754787186183,16016.46524,-0.0537414965986395
56,"A0A0G2JSW6;A0A0G2KAY2","Tnnt3","Troponin T, fast skeletal muscle",9.55807240866348,31150.38734,-1.07495739967624
57,"A0A0G2JSW9","LOC100360601","Carbonyl reductase (NADPH)",7.11651218687777,30321.62104,-0.341605839416058
58,"A0A0G2JT63;A0A8I6AHL8","Cyfip2","Cytoplasmic FMR1-interacting protein",6.61829176699716,146897.78379,-0.242918702240699
59,"A0A0G2JT64;A0A8I5ZY17;A0A8I6ADG6;G3V786","Akr1b8","Aldo-keto reductase family 1, member B8",7.69895143580075,34821.696315,-0.380364373461514
60,"A0A0G2JT68;A0A8I5Y6J1;A0A8I6GKP6;D3ZGS5","Uaca","Uveal autoantigen with coiled-coil domains and ankyrin repeats",6.53609024271808,155187.537615,-0.865251312335635
61,"A0A0G2JT88;A0A8I6AE10;Q4V884","Cdc16","Cell division cycle 16",5.399205365582,70774.12564,-0.360632743541532
62,"A0A0G2JT92;D3ZA78","Tpx2","TPX2, microtubule nucleation factor",9.37788644896754,85108.29179,-1.0255245035818
63,"A0A0G2JTC5;A0A0G2K3R2;A0A1B0GWU9;G3V8L3","Lmna","Lamin A, isoform CRA_a",6.37158021596418,60855.280015,-0.973608905013724
64,"A0A0G2JTH0","Sptan1","Spectrin alpha chain, non-erythrocytic 1",5.21028225931037,285445.43204,-0.784705407586764
65,"A0A0G2JTH7;A0A8I5ZM14;F1M7B8","Ube3a","Ubiquitin protein ligase E3A",5.01772875583819,95829.59894,-0.462730361594353
66,"A0A0G2JTI7;D3ZI99","Prpf3","U4/U6 small nuclear ribonucleoprotein Prp3",9.68285954584739,73519.42849,-0.809013228263174
67,"A0A0G2JTJ9;A0A8I6AB07;G3V969","Tfcp2","RCG50655",5.30823996500479,56585.86654,-0.52493644501741
68,"A0A0G2JTM7","Brd7","Bromodomain-containing 7",6.06992249485677,73945.01544,-0.924386503067485
69,"A0A0G2JTP6;F1LSF5","Plin1","Perilipin",6.72177599297234,55356.75074,-0.376861663796831
70,"A0A0G2JTR4","Abr","Active breakpoint cluster region-related protein",6.14742750966615,97692.98844,-0.39860302677532
71,"A0A0G2JTT2;A0A1B0GWY4;A0A8I6G718","Picalm","Phosphatidylinositol-binding clathrin assembly protein",8.17476998453903,67389.36594,-0.233487884984818
72,"A0A0G2JTX2","Praf2","PRA1 family protein",9.5437870391358,19434.14224,0.584269662921348
73,"A0A0G2JTX6;D3ZPN6","Clec5a","C-type lectin domain-containing 5A",8.85866544962686,20213.01634,-0.224003189792663
74,"A0A0G2JTX7;A0A8I5ZRM4;F1LZF4","Col6a5","Collagen type VI alpha 5 chain",5.98097374985192,288242.87774,-0.378133521751218
75,"A0A0G2JTY4","Nfatc3","Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3 (Predicted), isoform CRA_b",5.83826146349762,115655.61364,-0.519888475836431
76,"A0A0G2JTZ2;F1M8W4","Sox5;Sox6","Transcription factor SOX-6",6.94992657424224,87893.43409,-0.783979898605549
77,"A0A0G2JU03;A0A0G2JY68","Rsl1d1","Ribosomal L1 domain containing 1",9.95571938234731,50890.35659,-0.778027834780833
78,"A0A0G2JU09;A0A8I6G935","Ep400","E1A-binding protein p400",9.23274949345608,344834.68509,-0.510439813993114
79,"A0A0G2JU25;A0A8I5Y554;A0A8I6AU26;D3ZFD2","Galnt2","Polypeptide N-acetylgalactosaminyltransferase",8.39053195867961,63010.15014,-0.511771408361849
80,"A0A0G2JU49","Mtx1","Metaxin 1",9.42479974261421,51925.62284,-0.419222462203024
81,"A0A0G2JU91;A0A8I6AN60","Ncor2","Nuclear receptor co-repressor 2",7.31843419059698,271141.51199,-0.859905555385087
82,"A0A0G2JU96","Ahnak","AHNAK nucleoprotein",5.88284917416043,568834.18864,-0.467042465238632
83,"A0A0G2JUA5","Ahnak","AHNAK nucleoprotein",5.80045279015829,581125.04034,-0.454348623853211
84,"A0A0G2JUC8","Rbx1","Ring-box 1",6.19215090813901,13005.88674,-0.136521739130435
85,"A0A0G2JUC9;A0A8I5ZVG1","Herc2","HECT-type E3 ubiquitin transferase",5.84435809778433,525443.05119,-0.183212934243176
86,"A0A0G2JUD2","Ppa1","inorganic diphosphatase",5.19188428967228,35293.92854,-0.510289389067524
87,"A0A0G2JUE7;F1LPV0","Nars1","asparagine--tRNA ligase",5.696861685534,63661.01769,-0.518755508549269
88,"A0A0G2JUF8;A0A0G2JWP8;A0A8I6ADA9","Top2a","DNA topoisomerase 2",8.91933913889266,172029.27674,-0.65824097786206
89,"A0A0G2JUF9;A0A8I6AH32;D3Z8V4","Nckap1l","NCK-associated protein 1-like",6.18646528799429,128436.685806667,-0.0712413983946589
90,"A0A0G2JUG7","Iqsec1","IQ motif and SEC7 domain-containing protein 1",7.6553757158094,108080.04934,-0.757172557172557
91,"A0A0G2JUH4","Pnkp","Polynucleotide kinase 3'-phosphatase",8.82987858494384,57489.04734,-0.274857142857143
92,"A0A0G2JUI0","Tln2","Talin 2",5.40671563671593,273540.44694,-0.222430636967565
93,"A0A0G2JUJ1","Zfp524","Zinc finger protein 524",9.6547193007772,46677.60824,-0.775688073394495
94,"A0A0G2JUJ9","Sec63","SEC63 homolog, protein translocation regulator",5.29806274808137,87716.73864,-0.665526315789474
95,"A0A0G2JUP3","Obscn","non-specific serine/threonine protein kinase",5.61069817926244,797359.30854,-0.357483967799154
96,"A0A0G2JUR2;A0A8I5YBA0;D3ZPU1","Irf5","Interferon regulatory factor 5",5.18151716497519,58521.8814733333,-0.484103509190224
97,"A0A0G2JUR5;A0A140TA95;A0A8I5ZXY0;A0A8I6A006","Mprip","Myosin phosphatase Rho-interacting protein",5.44003341948498,258129.63119,-0.819600695464703
98,"A0A0G2JUS4;A0A8I6ARN7;E9PTG1","Smarca2","SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily a, member 2",7.52747904589553,177676.031573333,-0.87509948082819
99,"A0A0G2JUT7;A0A8I6GBW9","B3glct","Beta 3-glucosyltransferase",6.40489500080525,54691.18049,-0.221721692983601
100,"A0A0G2JUV4;A0A0G2JWU3;D3ZFE9;F1M9A4","Mrpl1","Mitochondrial ribosomal protein L1",9.0499340519475,35091.26929,-0.265628969967529
101,"A0A0G2JUW3","Crispld2","Cysteine-rich secretory protein LCCL domain-containing 2",8.37685992624658,55875.63184,-0.430923694779116
102,"A0A0G2JUW9","Fnip2","Folliculin-interacting protein 2",6.22945279336047,126468.59864,-0.452230971128609
103,"A0A0G2JUX4;A0A8I6A571","Usp47","Ubiquitin carboxyl-terminal hydrolase 47",4.98987264104368,157528.49829,-0.633740766198162
104,"A0A0G2JV04","Gga3","ADP-ribosylation factor-binding protein GGA3",5.32184008425873,78758.74474,-0.318156808803301
105,"A0A0G2JV08;A0A8I6AIG5","Suz12","SUZ12 polycomb repressive complex 2 subunit",8.96818396160886,81430.01369,-0.723506737165274
106,"A0A0G2JV12;F1LPD0","Col15a1","Collagen type XV alpha 1 chain",4.8913487111046,137169.23279,-0.361226288119544
107,"A0A0G2JV24","Thbs1","Thrombospondin 1",4.72413117834042,129806.33514,-0.706575576430401
108,"A0A0G2JV32;A0A8I6A9F1;A0A8I6AMV1;A0A8I6GJD6;D3ZNS1","Phldb1","Pleckstrin homology-like domain family B member 1",9.06087881939131,152779.98648,-0.671297618262351
109,"A0A0G2JV63;D3ZZA8","Sec24a","SEC24 homolog A, COPII coat complex component",7.84777726410884,116746.63714,-0.213646174252235
110,"A0A0G2JVA2;D4ABK7","Hnrnph3","Heterogeneous nuclear ribonucleoprotein H3",6.38823253121232,36869.56599,-0.652093044664452
111,"A0A0G2JVC2;A0A8I6AFM7;D4A1Y0","Scyl2","SCY1-like pseudokinase 2",8.36836242222543,103591.52794,-0.247266110073011
112,"A0A0G2JVD3;A0A1B0GWZ0","Arid1b","AT-rich interaction domain 1B",5.96268663700127,225489.43574,-0.726208210978089
113,"A0A0G2JVD6;A0A8I5ZVL8","Kmt2d","[histone H3]-lysine(4) N-methyltransferase",5.52878843351417,595604.75824,-0.65651668062028
114,"A0A0G2JVE6;G3V7W7","Anpep","Aminopeptidase",5.26418043428213,107707.60004,-0.292385191089854
115,"A0A0G2JVF0;A0A8I5ZY52;A0A8I6AIK5;A0A8I6AN89;A0A8I6GIQ7","Arhgap4","Rho GTPase activating protein 4",6.08443739831847,99396.80976,-0.451231550873627
116,"A0A0G2JVF4;A0A8L2QDC8","RGD1307554","Similar to CG16812-PA",10.2123419030962,43907.99704,-0.391242136758813
117,"A0A0G2JVH4;A0A140TAG5;A0A8I5Y0P8;A0A8I6A9C1;A0A8I6ADG3;A0A8I6GLJ1","Immt","MICOS complex subunit MIC60",5.58454771124453,80688.7649066667,-0.442000124166152
118,"A0A0G2JVH5;A0A8I6AF43;D3ZMQ9","Hltf","Helicase-like transcription factor",8.33805003244458,112809.089206667,-0.459422322356657
119,"A0A0G2JVK8;D3ZFT1","Rfc1","Replication factor C subunit 1",9.33610218994967,126367.20744,-0.79846216139769
120,"A0A0G2JVL6","Ndufa8","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8",8.60051142062084,19965.04344,-0.618604651162791
121,"A0A0G2JVL7;A0A8I5ZL30;D3ZH12","Nosip","Nitric oxide synthase-interacting protein",8.92891017554645,33891.6648733333,-0.59841471605883
122,"A0A0G2JVL8;A0A1W2Q6K1;A0A8I6A413;F1LS86","Iars1","isoleucine--tRNA ligase",6.04426632674599,143985.39674,-0.239631011550368
123,"A0A0G2JVM2","Mia3","MIA SH3 domain ER export factor 3",4.74741833512368,213007.74184,-0.84625
124,"A0A0G2JVP5","Paip1","Poly(A)-binding protein-interacting protein 1",4.84703793284232,58627.06664,-0.748098859315589
125,"A0A0G2JVV5","Usp14","Ubiquitin carboxyl-terminal hydrolase",5.1074840430988,55605.53964,-0.465030674846626
126,"A0A0G2JVW0","Siglec10","Sialic acid-binding Ig-like lectin 10",7.58696381445574,76790.23044,-0.344767441860465
127,"A0A0G2JVW3;A0A8I6AAR9","Ankrd17","Ankyrin repeat domain 17",6.08991002635685,272055.49234,-0.409585643724138
128,"A0A0G2JVY2;A0A8I5ZQF0;D3Z9U2","Cd163","CD163 molecule",5.7369021012573,121144.68494,-0.304227912456966
129,"A0A0G2JVY9","Ccna2","Cyclin A2",5.94251371171524,47053.99874,-0.337320574162679
130,"A0A0G2JVZ6","Itgav","Integrin subunit alpha V",5.64538135644834,111050.36504,-0.184707050645482
131,"A0A0G2JW20;A0A8I6ATD3","Epb41l4a","Erythrocyte membrane protein band 4.1-like 4A",9.5172008357128,80298.10419,-1.00909875578138
132,"A0A0G2JW34;A0A8I5XVB0;A0A8I6A7A0;A0A8I6AGH3","Cisd3","CDGSH iron sulfur domain 3",9.88320138928411,14642.06784,-0.40963516879192
133,"A0A0G2JW38;A0A8I6GEB4","Rpe","Ribulose-phosphate 3-epimerase",5.20268898371161,26966.60564,-0.0596085969476528
134,"A0A0G2JW41","ENSRNOG00000065855","Ig-like domain-containing protein",8.49139593348537,17180.43224,-0.22484076433121
135,"A0A0G2JW46;A0A0G2K500;A0A0G2K8C1;A0A8I5Y706","Npnt","Nephronectin",8.72316437257986,64917.920015,-0.479405797278333
136,"A0A0G2JW88","Map4","Microtubule-associated protein",5.46445252203056,233393.51644,-0.737755565651976
137,"A0A0G2JW94","Clint1","Clathrin interactor 1",6.1651162012656,69747.18044,-0.657878315132605
138,"A0A0G2JWA5;A0A8I5ZPF2;A0A8I6AWK8;A0A8I6GJV3;B5DF63;D3ZKE6","Slmap","Sarcolemmal membrane-associated protein",5.1886246457389,92664.0490733333,-0.797053219208195
139,"A0A0G2JWA8;A0A0G2K9T4;A0A8I5YCC2;A0A8I5ZUE8;A0A8I5ZYF6;A0A8I6AAP8;A0A8I6AP57;A0A8I6ATL8","Macf1","Microtubule-actin cross-linking factor 1",5.26170944704006,835292.8976025,-0.591400311033314
140,"A0A0G2JWB6;A0A0G2KAH2","Pxdn","Peroxidasin",6.54973577216534,163990.80559,-0.322274387038746
141,"A0A0G2JWC7;A0A8I5ZZ14;A0A8I6G699;F7ERM0","Fermt2","FERM domain-containing kindlin 2",6.35099032791242,79452.152615,-0.4020892149273
142,"A0A0G2JWF4;A0A8I5ZMJ8;A0A8I6A2X4;A0A8I6A665;B1WC71","Aspscr1","ASPSCR1 tether for SLC2A4, UBX domain-containing",8.04638242808648,53299.51484,-0.477752954384096
143,"A0A0G2JWH3","Ncapd2","Condensin complex subunit 1",5.98296252283369,155590.05314,-0.234028776978417
144,"A0A0G2JWL2;Q7TMC3","Hps5;Saa4","Hermansky-Pudlak syndrome 5 protein homolog",5.32642619290665,92859.43154,-0.283902712298469
145,"A0A0G2JWT2;F1LPQ3","Man2c1","alpha-mannosidase",6.0748116743268,111682.84394,-0.163420986914394
146,"A0A0G2JWV8;A0A0G2K0L6;A0A8I6ABD9;A0A8I6ABN2;F1LXS6","Thoc7","THO complex subunit 7 homolog",5.96858739117152,25159.83584,-0.735738203744578
147,"A0A0G2JWX2","Lama2","Laminin subunit alpha 2",5.8429909205114,343927.97154,-0.430983659083627
148,"A0A0G2JWX6;A0A0G2K7M6;M0R5Q8","Hells","Helicase, lymphoid-specific",8.29091030092178,97537.0440066667,-0.562415041494393
149,"A0A0G2JWZ7","Ak3","GTP:AMP phosphotransferase AK3, mitochondrial",9.05048232155592,24050.85554,-0.262325581395349
150,"A0A0G2JX43;A0A8I6AK86;F1M6V8","Strn4","Striatin 4",5.1856597954405,75433.5960733333,-0.467164324000965
151,"A0A0G2JX45;A0A8I6AL43;A0A8I6G6E2;A0A8I6GEE1;D4A2N1","Ate1","Arginyl-tRNA--protein transferase 1",7.95968448858202,58031.52574,-0.663437372122572
152,"A0A0G2JX46;A0A8I5ZYS0;A0A8I6AI19;B2RZ97;F1LRJ0","Kcmf1","E3 ubiquitin-protein ligase KCMF1",5.54149833252336,42128.67918,-0.60648076345966
153,"A0A0G2JX47;G3V763","Col5a1","Collagen alpha-1(V) chain",4.9176774475308,181122.99504,-0.887828153876082
154,"A0A0G2JX83;A0A8I6AKW6;F7EQR2","RT1-Bb","Rano class II histocompatibility antigen, B-1 beta chain",8.28556296982205,28527.8612733333,-0.323916078945097
155,"A0A0G2JXC0;A0A8I5ZME6;B0BNB0","Golt1b","Golgi transport 1B",10.3461163216192,17756.04184,0.937640342177788
156,"A0A0G2JXC5;A0A0G2K3Y9;A0A8I5Y2C3;A0A8I5Y4Q9;A0A8I5ZKI6;A0A8I6AI47;A0A8I6GFP9;F1LV40;F1LVR8","Mrtfa","Myocardin-related transcription factor A",5.21444319968581,102993.879217778,-0.475752373215945
157,"A0A0G2JXG3;A0A8I6A2B0","Tmem30a","Cell cycle control protein",8.27065878082167,40931.30459,-0.318899729079784
158,"A0A0G2JXG7;A0A8I6A2B1;A0A8I6AJW0;A0A8I6G5R0;F1M0N7","Carmil1","Capping protein regulator and myosin 1 linker 1",8.04658661326937,150427.23332,-0.436055356261325
159,"A0A0G2JXI6;A0A0G2K4V6","Cyrib","CYFIP-related Rac1 interactor B",5.90015896377111,36755.97254,-0.364256297060735
160,"A0A0G2JXK2;A0A8I5ZWB7;Q6AY58","Bcap31","B-cell receptor-associated protein",9.07552564374595,29266.8941066667,-0.192483745487005
161,"A0A0G2JXL2;D3ZE20","Nfatc1","Nuclear factor of-activated T-cells 1",6.24820591231042,100939.58939,-0.515875831102668
162,"A0A0G2JXM1","Ctnnd1","Catenin delta 1",5.85783958047039,108153.20214,-0.720268872802482
163,"A0A0G2JXM2;D3ZC98","Ccnt1","Cyclin-T1",8.88101188326892,76883.99004,-0.671557690224411
164,"A0A0G2JXM5","Poldip3","DNA polymerase delta-interacting protein 3",10.0668045854062,44264.29374,-0.485037406483791
165,"A0A0G2JXN0;G3V8H9","Tfdp1","Transcription factor",6.03813300617906,47058.77549,-0.51825093386069
166,"A0A0G2JXN8;A0A8I5ZMZ6;A0A8I6A2N1","Osbpl8","Oxysterol-binding protein",6.64400956118463,100653.67784,-0.687370112970113
167,"A0A0G2JXR0","Ldb3","LIM domain-binding 3",9.0980426960869,35471.86514,-0.501515151515151
168,"A0A0G2JXS2","Kri1","Protein KRI1 homolog",5.10142357741628,81316.73634,-1.30630372492837
169,"A0A0G2JXT8;D4A8D5","Flnb","Filamin B",5.44871207519655,276579.80874,-0.283260847268527
170,"A0A0G2JXW4;A0A0G2K7B3;A0A140TAH9;A0A140TAI3;A0A8I6G2H2;A0A8I6GAF8","Hnrnpc","Heterogeneous nuclear ribonucleoprotein C",5.50753737706559,32287.71789,-0.972009886393558
171,"A0A0G2JXX9;A0A8I5ZVG9;A0A8I6A5U3;B2GV08","Ap1s2","AP complex subunit sigma",6.388440742037,18881.0376733333,-0.229946581196581
172,"A0A0G2JXZ3;A0A8I6A4N1;A0A8I6GFB1","Atrx","DNA helicase",6.66362892885857,276828.356106667,-1.03231424283961
173,"A0A0G2JXZ9;A0A8I6GK94;E9PTB7","Ptprj","protein-tyrosine-phosphatase",5.93143287518842,143972.38814,-0.355063704407832
174,"A0A0G2JY00;B2RYN0","Pgm3","Phosphoacetylglucosamine mutase",5.88223628035955,57474.36859,-0.230029792812898
175,"A0A0G2JY21;A0A0G2K7X6;A0A8J8Y6U2","Ddx19a;Ddx19b","RNA helicase",7.43273156820043,52481.8616066667,-0.338649165008404
176,"A0A0G2JY40;Q3MIE7","Commd9","COMM domain-containing 9",5.57089103793113,22580.81209,-0.0963856575230983
177,"A0A0G2JY80;G3V6G5","Tbl1x","Transducin (Beta)-like 1 X-linked (Predicted)",5.40574094864059,56037.97459,-0.289613894863985
178,"A0A0G2JYA3;D3ZNG3","Sppl2a","Signal peptide peptidase-like 2A",6.11679969646209,58876.97844,0.555944306803844
179,"A0A0G2JYA7","Tarbp1","TAR (HIV-1) RNA-binding protein 1",6.14245061603486,175202.92604,0.0906844106463878
180,"A0A0G2JYD1;A0A0U1RRQ3","Ubap2","Ubiquitin-associated protein 2",7.35872804357747,116622.35539,-0.600047807534468
181,"A0A0G2JYF7;D4A6H8","Ctnna2","Catenin alpha-2",5.60617370931365,104309.38494,-0.342762080677682
182,"A0A0G2JYF9","Matn3","Matrilin 3",6.77883895733942,50067.93224,-0.15939524838013
183,"A0A0G2JYJ7;A0A8I6A6C0;F7EVG9","Rbms2","RNA-binding motif, single stranded-interacting protein 2",9.33458560287783,40800.6671733333,-0.431781176777522
184,"A0A0G2JYQ3;A0A0G2K678","Ylpm1","YLP motif-containing protein 1",6.35224632671533,239391.47724,-1.1692365809098
185,"A0A0G2JYR1;A0A8I6A6E0","Exoc6b","Exocyst complex component",6.00245145591997,93462.71504,-0.48001774691358
186,"A0A0G2JYR5","Arhgap1","Rho GTPase-activating protein 1",6.11724845688603,58487.83134,-0.3689453125
187,"A0A0G2JYT1;A0A8I6A0L5;A0A8I6GKZ4;F1LPE9","Erc1","ELKS/Rab6-interacting/CAST family member 1",5.75251363233808,124438.50994,-0.998408430200672
188,"A0A0G2JYV0","Brd4","Bromodomain-containing 4",9.22397189799274,153089.76444,-1.08693430656934
189,"A0A0G2JYV2","Cpsf1","Cleavage and polyadenylation-specific factor 1",6.05782095979505,165059.98004,-0.196421336934504
190,"A0A0G2JYY6;D3ZX74","Coq10a","Coenzyme Q10A",9.58680030282323,26841.75989,-0.0848549009839333
191,"A0A0G2JYZ5","Plec","Plectin",5.60114832632383,514538.80974,-0.693956165596635
192,"A0A0G2JZ30;A0A8I6AKJ9;A0A8I6AL70;A0A8I6ALI1;D3ZEU8","Fam76a","Family with sequence similarity 76, member A",9.29777660592091,33501.9237,-0.897365902913707
193,"A0A0G2JZ38","Fhod1","Formin homology 2 domain-containing 1",5.79808343227354,128573.23514,-0.298898305084746
194,"A0A0G2JZ48","Tmf1","RCG56136, isoform CRA_a",4.81955212751239,121900.82104,-0.86779505946935
195,"A0A0G2JZ53","Birc6","Baculoviral IAP repeat-containing 6",5.72124257827717,539425.57904,-0.12246918569408
196,"A0A0G2JZ88","RGD1306556","Similar to hypothetical protein A530094D01",9.11842292304167,192410.50314,-0.961016949152542
197,"A0A0G2JZ94;A0A8I5YBY2;A0A8I6AC50;F1LR77","Ttc13","Tetratricopeptide repeat domain 13",6.9491734728203,93204.093815,-0.310784504879428
198,"A0A0G2JZ95","Hmgb3","High mobility group protein B1",9.72815069091778,19537.58214,-1.20882352941176
199,"A0A0G2JZD1;A0A8I5ZRC2;A0A8I5ZRT0;A0A8I6A0C3;A0A8I6AKJ3;D4A1A5","Ppp2r5c","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit",7.964456397013,62345.27384,-0.401918788850977
